Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt 100 132 0-1-2-3-4-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
tsp_10.txt 100 212 0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,22500,1,0.00471698,0.471698%
2.,17200,1,0.00471698,0.471698%
3.,15300,1,0.00471698,0.471698%
4.,26000,1,0.00471698,0.471698%
5.,25400,1,0.00471698,0.471698%
6.,22000,1,0.00471698,0.471698%
7.,21300,1,0.00471698,0.471698%
8.,19200,1,0.00471698,0.471698%
9.,17600,1,0.00471698,0.471698%
10.,26300,1,0.00471698,0.471698%
11.,22100,1,0.00471698,0.471698%
12.,17900,1,0.00471698,0.471698%
13.,25200,1,0.00471698,0.471698%
14.,17500,1,0.00471698,0.471698%
15.,21200,1,0.00471698,0.471698%
16.,24400,1,0.00471698,0.471698%
17.,17800,1,0.00471698,0.471698%
18.,24600,1,0.00471698,0.471698%
19.,17700,1,0.00471698,0.471698%
20.,16100,1,0.00471698,0.471698%
21.,21000,1,0.00471698,0.471698%
22.,15500,1,0.00471698,0.471698%
23.,23200,1,0.00471698,0.471698%
24.,24900,1,0.00471698,0.471698%
25.,17500,1,0.00471698,0.471698%
26.,15000,1,0.00471698,0.471698%
27.,17700,1,0.00471698,0.471698%
28.,22500,1,0.00471698,0.471698%
29.,23000,1,0.00471698,0.471698%
30.,22500,1,0.00471698,0.471698%
31.,22600,1,0.00471698,0.471698%
32.,19900,1,0.00471698,0.471698%
33.,24000,1,0.00471698,0.471698%
34.,15600,1,0.00471698,0.471698%
35.,21700,1,0.00471698,0.471698%
36.,15900,1,0.00471698,0.471698%
37.,15300,1,0.00471698,0.471698%
38.,13100,1,0.00471698,0.471698%
39.,23700,1,0.00471698,0.471698%
40.,16700,1,0.00471698,0.471698%
41.,13500,1,0.00471698,0.471698%
42.,14900,1,0.00471698,0.471698%
43.,15800,1,0.00471698,0.471698%
44.,19200,1,0.00471698,0.471698%
45.,17600,1,0.00471698,0.471698%
46.,14100,1,0.00471698,0.471698%
47.,14000,1,0.00471698,0.471698%
48.,16200,1,0.00471698,0.471698%
49.,16800,1,0.00471698,0.471698%
50.,21900,1,0.00471698,0.471698%
51.,34300,1,0.00471698,0.471698%
52.,22800,1,0.00471698,0.471698%
53.,13500,1,0.00471698,0.471698%
54.,19900,1,0.00471698,0.471698%
55.,21300,1,0.00471698,0.471698%
56.,13100,1,0.00471698,0.471698%
57.,11700,1,0.00471698,0.471698%
58.,14800,1,0.00471698,0.471698%
59.,24600,1,0.00471698,0.471698%
60.,17900,1,0.00471698,0.471698%
61.,20000,1,0.00471698,0.471698%
62.,12200,1,0.00471698,0.471698%
63.,22100,1,0.00471698,0.471698%
64.,31000,1,0.00471698,0.471698%
65.,24200,1,0.00471698,0.471698%
66.,27800,1,0.00471698,0.471698%
67.,25800,1,0.00471698,0.471698%
68.,23100,1,0.00471698,0.471698%
69.,24200,1,0.00471698,0.471698%
70.,22200,1,0.00471698,0.471698%
71.,23800,1,0.00471698,0.471698%
72.,25600,1,0.00471698,0.471698%
73.,24300,1,0.00471698,0.471698%
74.,25000,1,0.00471698,0.471698%
75.,26400,1,0.00471698,0.471698%
76.,40400,1,0.00471698,0.471698%
77.,26000,1,0.00471698,0.471698%
78.,284400,1,0.00471698,0.471698%
79.,25200,1,0.00471698,0.471698%
80.,74800,1,0.00471698,0.471698%
81.,23000,1,0.00471698,0.471698%
82.,60700,1,0.00471698,0.471698%
83.,16100,1,0.00471698,0.471698%
84.,26700,1,0.00471698,0.471698%
85.,24300,1,0.00471698,0.471698%
86.,26000,1,0.00471698,0.471698%
87.,24800,1,0.00471698,0.471698%
88.,23500,1,0.00471698,0.471698%
89.,16500,1,0.00471698,0.471698%
90.,23000,1,0.00471698,0.471698%
91.,24300,1,0.00471698,0.471698%
92.,21600,1,0.00471698,0.471698%
93.,17200,1,0.00471698,0.471698%
94.,21700,1,0.00471698,0.471698%
95.,16000,1,0.00471698,0.471698%
96.,23700,1,0.00471698,0.471698%
97.,15600,1,0.00471698,0.471698%
98.,14900,1,0.00471698,0.471698%
99.,23600,1,0.00471698,0.471698%
100.,14700,1,0.00471698,0.471698%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt 10 264 0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,54700,0,0,0%
2.,59500,0,0,0%
3.,58500,0,0,0%
4.,53900,0,0,0%
5.,56400,0,0,0%
6.,59400,0,0,0%
7.,130300,0,0,0%
8.,62300,0,0,0%
9.,69800,0,0,0%
10.,63500,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt 10 269 0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,71600,0,0,0%
2.,74700,0,0,0%
3.,67300,0,0,0%
4.,75900,0,0,0%
