Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt 100 132 0-1-2-3-4-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
tsp_10.txt 100 212 0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,9000,1,0.00471698,0.471698%
2.,8300,1,0.00471698,0.471698%
3.,7000,1,0.00471698,0.471698%
4.,7300,1,0.00471698,0.471698%
5.,5800,1,0.00471698,0.471698%
6.,3900,1,0.00471698,0.471698%
7.,3700,1,0.00471698,0.471698%
8.,7700,1,0.00471698,0.471698%
9.,8200,1,0.00471698,0.471698%
10.,5900,1,0.00471698,0.471698%
11.,5200,1,0.00471698,0.471698%
12.,4200,1,0.00471698,0.471698%
13.,5200,1,0.00471698,0.471698%
14.,4000,1,0.00471698,0.471698%
15.,3700,1,0.00471698,0.471698%
16.,7200,1,0.00471698,0.471698%
17.,10000,1,0.00471698,0.471698%
18.,7800,1,0.00471698,0.471698%
19.,7600,1,0.00471698,0.471698%
20.,5500,1,0.00471698,0.471698%
21.,7600,1,0.00471698,0.471698%
22.,5900,1,0.00471698,0.471698%
23.,6600,1,0.00471698,0.471698%
24.,9400,1,0.00471698,0.471698%
25.,8000,1,0.00471698,0.471698%
26.,6000,1,0.00471698,0.471698%
27.,7100,1,0.00471698,0.471698%
28.,4900,1,0.00471698,0.471698%
29.,6400,1,0.00471698,0.471698%
30.,4800,1,0.00471698,0.471698%
31.,6300,1,0.00471698,0.471698%
32.,6500,1,0.00471698,0.471698%
33.,7500,1,0.00471698,0.471698%
34.,7300,1,0.00471698,0.471698%
35.,5500,1,0.00471698,0.471698%
36.,4500,1,0.00471698,0.471698%
37.,4500,1,0.00471698,0.471698%
38.,15200,1,0.00471698,0.471698%
39.,18800,1,0.00471698,0.471698%
40.,7200,1,0.00471698,0.471698%
41.,6300,1,0.00471698,0.471698%
42.,5900,1,0.00471698,0.471698%
43.,6000,1,0.00471698,0.471698%
44.,4300,1,0.00471698,0.471698%
45.,6600,1,0.00471698,0.471698%
46.,4900,1,0.00471698,0.471698%
47.,6500,1,0.00471698,0.471698%
48.,4300,1,0.00471698,0.471698%
49.,3900,1,0.00471698,0.471698%
50.,4400,1,0.00471698,0.471698%
51.,15000,1,0.00471698,0.471698%
52.,6800,1,0.00471698,0.471698%
53.,7100,1,0.00471698,0.471698%
54.,7400,1,0.00471698,0.471698%
55.,5100,1,0.00471698,0.471698%
56.,4500,1,0.00471698,0.471698%
57.,3900,1,0.00471698,0.471698%
58.,4200,1,0.00471698,0.471698%
59.,17900,1,0.00471698,0.471698%
60.,6700,1,0.00471698,0.471698%
61.,3900,1,0.00471698,0.471698%
62.,3900,1,0.00471698,0.471698%
63.,4200,1,0.00471698,0.471698%
64.,23000,1,0.00471698,0.471698%
65.,4100,1,0.00471698,0.471698%
66.,3200,1,0.00471698,0.471698%
67.,7300,1,0.00471698,0.471698%
68.,4500,1,0.00471698,0.471698%
69.,4300,1,0.00471698,0.471698%
70.,3800,1,0.00471698,0.471698%
71.,4200,1,0.00471698,0.471698%
72.,3700,1,0.00471698,0.471698%
73.,6500,1,0.00471698,0.471698%
74.,3700,1,0.00471698,0.471698%
75.,4000,1,0.00471698,0.471698%
76.,3700,1,0.00471698,0.471698%
77.,3700,1,0.00471698,0.471698%
78.,5400,1,0.00471698,0.471698%
79.,4200,1,0.00471698,0.471698%
80.,3500,1,0.00471698,0.471698%
81.,3500,1,0.00471698,0.471698%
82.,23200,1,0.00471698,0.471698%
83.,10200,1,0.00471698,0.471698%
84.,7900,1,0.00471698,0.471698%
85.,30600,1,0.00471698,0.471698%
86.,8100,1,0.00471698,0.471698%
87.,6600,1,0.00471698,0.471698%
88.,5200,1,0.00471698,0.471698%
89.,3700,1,0.00471698,0.471698%
90.,3800,1,0.00471698,0.471698%
91.,4200,1,0.00471698,0.471698%
92.,29500,1,0.00471698,0.471698%
93.,7600,1,0.00471698,0.471698%
94.,4800,1,0.00471698,0.471698%
95.,7100,1,0.00471698,0.471698%
96.,5300,1,0.00471698,0.471698%
97.,3900,1,0.00471698,0.471698%
98.,3700,1,0.00471698,0.471698%
99.,3600,1,0.00471698,0.471698%
100.,5500,1,0.00471698,0.471698%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt 10 264 0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,11400,0,0,0%
2.,16900,0,0,0%
3.,9800,0,0,0%
4.,7000,0,0,0%
5.,5300,0,0,0%
6.,4900,0,0,0%
7.,5500,0,0,0%
8.,4700,0,0,0%
9.,7700,0,0,0%
10.,9800,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt 10 269 0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,11100,0,0,0%
2.,6600,0,0,0%
3.,5700,0,0,0%
4.,6500,0,0,0%
