Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt 100 132 0-1-2-3-4-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
tsp_10.txt 100 212 0-3-4-2-8-7-6-9-1-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,16200,1,0.00471698,0.471698%
2.,14000,1,0.00471698,0.471698%
3.,12700,1,0.00471698,0.471698%
4.,13100,1,0.00471698,0.471698%
5.,15200,1,0.00471698,0.471698%
6.,10200,1,0.00471698,0.471698%
7.,36700,1,0.00471698,0.471698%
8.,9600,1,0.00471698,0.471698%
9.,14500,1,0.00471698,0.471698%
10.,13600,1,0.00471698,0.471698%
11.,13400,1,0.00471698,0.471698%
12.,14700,1,0.00471698,0.471698%
13.,16100,1,0.00471698,0.471698%
14.,17300,1,0.00471698,0.471698%
15.,12200,1,0.00471698,0.471698%
16.,15200,1,0.00471698,0.471698%
17.,15600,1,0.00471698,0.471698%
18.,12100,1,0.00471698,0.471698%
19.,14800,1,0.00471698,0.471698%
20.,13300,1,0.00471698,0.471698%
21.,15300,1,0.00471698,0.471698%
22.,11000,1,0.00471698,0.471698%
23.,13600,1,0.00471698,0.471698%
24.,11300,1,0.00471698,0.471698%
25.,12900,1,0.00471698,0.471698%
26.,12700,1,0.00471698,0.471698%
27.,13400,1,0.00471698,0.471698%
28.,8000,1,0.00471698,0.471698%
29.,7200,1,0.00471698,0.471698%
30.,12300,1,0.00471698,0.471698%
31.,9800,1,0.00471698,0.471698%
32.,7900,1,0.00471698,0.471698%
33.,7400,1,0.00471698,0.471698%
34.,10000,1,0.00471698,0.471698%
35.,11000,1,0.00471698,0.471698%
36.,12800,1,0.00471698,0.471698%
37.,12900,1,0.00471698,0.471698%
38.,8900,1,0.00471698,0.471698%
39.,8800,1,0.00471698,0.471698%
40.,24400,1,0.00471698,0.471698%
41.,7400,1,0.00471698,0.471698%
42.,8300,1,0.00471698,0.471698%
43.,23300,1,0.00471698,0.471698%
44.,7400,1,0.00471698,0.471698%
45.,6700,1,0.00471698,0.471698%
46.,6800,1,0.00471698,0.471698%
47.,5800,1,0.00471698,0.471698%
48.,7000,1,0.00471698,0.471698%
49.,1126400,1,0.00471698,0.471698%
50.,15200,1,0.00471698,0.471698%
51.,14600,1,0.00471698,0.471698%
52.,14800,1,0.00471698,0.471698%
53.,14200,1,0.00471698,0.471698%
54.,14000,1,0.00471698,0.471698%
55.,23700,1,0.00471698,0.471698%
56.,10000,1,0.00471698,0.471698%
57.,7700,1,0.00471698,0.471698%
58.,10200,1,0.00471698,0.471698%
59.,15300,1,0.00471698,0.471698%
60.,13800,1,0.00471698,0.471698%
61.,14500,1,0.00471698,0.471698%
62.,13700,1,0.00471698,0.471698%
63.,13800,1,0.00471698,0.471698%
64.,15000,1,0.00471698,0.471698%
65.,14000,1,0.00471698,0.471698%
66.,14500,1,0.00471698,0.471698%
67.,9100,1,0.00471698,0.471698%
68.,5700,1,0.00471698,0.471698%
69.,54700,1,0.00471698,0.471698%
70.,11500,1,0.00471698,0.471698%
71.,21900,1,0.00471698,0.471698%
72.,13700,1,0.00471698,0.471698%
73.,7500,1,0.00471698,0.471698%
74.,27200,1,0.00471698,0.471698%
75.,14800,1,0.00471698,0.471698%
76.,9700,1,0.00471698,0.471698%
77.,8500,1,0.00471698,0.471698%
78.,9900,1,0.00471698,0.471698%
79.,11100,1,0.00471698,0.471698%
80.,13100,1,0.00471698,0.471698%
81.,13200,1,0.00471698,0.471698%
82.,13600,1,0.00471698,0.471698%
83.,15300,1,0.00471698,0.471698%
84.,24300,1,0.00471698,0.471698%
85.,13100,1,0.00471698,0.471698%
86.,13700,1,0.00471698,0.471698%
87.,14300,1,0.00471698,0.471698%
88.,11000,1,0.00471698,0.471698%
89.,14400,1,0.00471698,0.471698%
90.,10500,1,0.00471698,0.471698%
91.,7900,1,0.00471698,0.471698%
92.,19200,1,0.00471698,0.471698%
93.,26600,1,0.00471698,0.471698%
94.,7700,1,0.00471698,0.471698%
95.,8900,1,0.00471698,0.471698%
96.,30400,1,0.00471698,0.471698%
97.,29000,1,0.00471698,0.471698%
98.,24400,1,0.00471698,0.471698%
99.,8200,1,0.00471698,0.471698%
100.,7300,1,0.00471698,0.471698%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt 10 264 0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,20000,0,0,0%
2.,27200,0,0,0%
3.,12500,0,0,0%
4.,15600,0,0,0%
5.,10400,0,0,0%
6.,9500,0,0,0%
7.,13300,0,0,0%
8.,12000,0,0,0%
9.,10600,0,0,0%
10.,11000,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt 10 269 0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,17000,0,0,0%
2.,11500,0,0,0%
3.,14500,0,0,0%
4.,12200,0,0,0%
