Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,100,132,0-1-2-3-4-5-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
42.,52779,0,0,0%
43.,50053,0,0,0%
44.,49175,0,0,0%
45.,49869,0,0,0%
46.,50614,0,0,0%
47.,51484,0,0,0%
48.,49402,0,0,0%
49.,49766,0,0,0%
50.,50310,0,0,0%
51.,51825,0,0,0%
52.,51968,0,0,0%
53.,49470,0,0,0%
54.,49795,0,0,0%
55.,50984,0,0,0%
56.,54639,0,0,0%
57.,52094,0,0,0%
58.,50066,0,0,0%
59.,49830,0,0,0%
60.,53418,0,0,0%
61.,50518,0,0,0%
62.,49853,0,0,0%
63.,49445,0,0,0%
64.,53583,0,0,0%
65.,51880,0,0,0%
66.,49541,0,0,0%
67.,50129,0,0,0%
68.,49958,0,0,0%
69.,52215,0,0,0%
70.,51030,0,0,0%
71.,49445,0,0,0%
72.,50598,0,0,0%
73.,51861,0,0,0%
74.,51093,0,0,0%
75.,49562,0,0,0%
76.,49846,0,0,0%
77.,51711,0,0,0%
78.,51274,0,0,0%
79.,49407,0,0,0%
80.,49570,0,0,0%
81.,52807,0,0,0%
82.,50186,0,0,0%
83.,49461,0,0,0%
84.,49802,0,0,0%
85.,51638,0,0,0%
86.,52505,0,0,0%
87.,50989,0,0,0%
88.,49110,0,0,0%
89.,49328,0,0,0%
90.,50284,0,0,0%
91.,49972,0,0,0%
92.,49008,0,0,0%
93.,51385,0,0,0%
94.,50198,0,0,0%
95.,51053,0,0,0%
96.,49869,0,0,0%
97.,49090,0,0,0%
98.,52161,0,0,0%
99.,53583,0,0,0%
100.,50406,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt,20,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Execution Times (us),Absolute error,Relative error,Relative error %
1.,7900265,0,0,0%
2.,7899054,0,0,0%
3.,7917525,0,0,0%
4.,7933503,0,0,0%
5.,7926992,0,0,0%
6.,7972637,0,0,0%
7.,7906894,0,0,0%
8.,7902881,0,0,0%
9.,7893909,0,0,0%
10.,7903323,0,0,0%
11.,7957186,0,0,0%
12.,7939902,0,0,0%
