Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp7_random.txt,100,-1,None
No.,Cost,Execution Times [ms]
29.,275,47.251
30.,275,47.47
31.,275,47.37
32.,275,48.33
33.,275,47.871
34.,275,47.138
35.,275,47.547
36.,275,47.974
37.,275,47.71
38.,275,47.671
39.,275,48.232
40.,275,47.89
41.,275,47.523
42.,275,47.325
43.,275,47.578
44.,275,49.503
45.,275,51.72
46.,275,47.77
47.,275,47.522
48.,275,47.423
49.,275,48.867
50.,275,48.288
51.,275,47.545
52.,275,47.582
53.,275,47.514
54.,275,49.831
55.,275,47.315
56.,275,47.318
57.,275,48.086
58.,275,50.665
59.,275,48.701
60.,275,47.743
61.,275,48.472
62.,275,47.446
63.,275,48.745
64.,275,48.543
65.,275,48.602
66.,275,51.785
67.,275,48.785
68.,275,47.597
69.,275,48.93
70.,275,47.287
71.,275,47.318
72.,275,50.104
73.,275,48.439
74.,275,48.936
75.,275,48.188
76.,275,48.251
77.,275,50.909
78.,275,47.348
79.,275,48.082
80.,275,47.637
81.,275,47.448
82.,275,50.599
83.,275,49.269
84.,275,48.398
85.,275,49.409
86.,275,52.382
87.,275,50.92
88.,275,47.996
89.,275,47.312
90.,275,47.454
91.,275,49.539
92.,275,48.024
93.,275,47.228
94.,275,47.78
95.,275,47.193
96.,275,47.493
97.,275,47.608
98.,275,47.386
99.,275,47.501
100.,275,47.824
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp11_random.txt,50,-1,None
No.,Cost,Execution Times [ms]
1.,295,578.09
2.,295,574.984
3.,295,581.139
4.,295,583.782
5.,295,578.154
6.,295,578.656
7.,295,587.795
8.,295,574.379
9.,295,572.338
10.,295,575.771
11.,295,587.264
12.,295,578.096
13.,295,592.372
14.,295,577.233
15.,295,598.231
16.,295,588.694
17.,295,585.095
18.,295,636.351
19.,295,598.441
20.,295,584.666
21.,295,587.084
22.,295,606.017
23.,295,590.054
24.,295,600.31
25.,295,615.782
26.,295,585.104
27.,295,572.407
28.,295,570.628
29.,295,570.123
30.,295,580.849
31.,295,585.332
32.,295,579.505
33.,295,584.629
34.,295,579.844
35.,295,583.905
36.,295,570.079
37.,295,575.34
38.,295,573.016
39.,295,585.104
40.,295,572.709
41.,295,570.357
42.,295,586.34
43.,295,585.655
44.,295,587.936
45.,295,573.115
46.,295,573.549
47.,295,570.948
48.,295,572.736
49.,295,578.986
50.,295,572.801
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp12_random.txt,10,-1,None
No.,Cost,Execution Times [ms]
1.,316,7669.89
2.,316,7491.02
3.,316,7489.9
4.,316,7501.76
5.,316,7545.52
6.,316,7526.9
7.,316,7520.35
8.,316,7489.06
9.,316,7606.16
10.,316,7631.57
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp13_random.txt,5,-1,None
No.,Cost,Execution Times [ms]
1.,338,105766
2.,338,107575
3.,338,105903
4.,338,105752
5.,338,105611
Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp14_random.txt,1,-1,None
No.,Cost,Execution Times [ms]
1.,366,1.61291e+06
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp7_random.txt,100,-1,None
No.,Cost,Execution Times [ms]
1.,290,0.048
2.,290,0.05
3.,290,0.053
4.,290,0.047
5.,290,0.046
6.,290,0.053
7.,290,0.047
8.,290,0.046
9.,290,0.046
10.,290,0.046
11.,290,0.046
12.,290,0.046
13.,290,0.046
14.,290,0.08
15.,290,0.079
16.,290,0.077
17.,290,0.08
18.,290,0.086
19.,290,0.048
20.,290,0.071
21.,290,0.085
22.,290,0.075
23.,290,0.074
24.,290,0.047
25.,290,0.047
26.,290,0.091
27.,290,0.047
28.,290,0.046
29.,290,0.047
30.,290,0.068
31.,290,0.046
32.,290,0.046
33.,290,0.052
34.,290,0.048
35.,290,0.052
36.,290,0.047
37.,290,0.046
38.,290,0.072
39.,290,0.063
40.,290,0.046
41.,290,0.052
42.,290,0.06
43.,290,0.047
44.,290,0.047
45.,290,0.047
46.,290,0.047
47.,290,0.047
48.,290,0.047
49.,290,0.047
50.,290,0.078
51.,290,0.046
52.,290,0.046
53.,290,0.046
54.,290,0.046
55.,290,0.046
56.,290,0.046
57.,290,0.047
58.,290,0.052
59.,290,0.046
60.,290,0.046
61.,290,0.046
62.,290,0.048
63.,290,0.046
64.,290,0.051
65.,290,0.052
66.,290,0.046
67.,290,0.046
68.,290,0.116
69.,290,0.047
70.,290,0.046
71.,290,0.046
72.,290,0.062
73.,290,0.048
74.,290,0.049
75.,290,0.052
76.,290,0.051
77.,290,0.046
78.,290,0.06
79.,290,0.049
80.,290,0.046
81.,290,0.047
82.,290,0.047
83.,290,0.069
84.,290,0.08
85.,290,0.069
86.,290,0.046
87.,290,0.046
88.,290,0.073
89.,290,0.07
90.,290,0.072
91.,290,0.047
92.,290,0.046
93.,290,0.079
94.,290,0.073
95.,290,0.046
96.,290,0.078
97.,290,0.046
98.,290,0.046
99.,290,0.046
100.,290,0.07
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp8_random.txt,100,-1,None
No.,Cost,Execution Times [ms]
1.,321,0.449
2.,321,0.444
3.,321,0.453
4.,321,0.45
5.,321,0.451
6.,321,0.426
7.,321,0.466
8.,321,0.433
9.,321,0.463
10.,321,0.458
11.,321,0.449
12.,321,0.452
13.,321,0.469
14.,321,0.431
15.,321,0.454
16.,321,0.506
17.,321,0.452
18.,321,0.446
19.,321,0.437
20.,321,0.438
21.,321,0.426
22.,321,0.431
23.,321,0.428
24.,321,0.449
25.,321,0.443
26.,321,0.455
27.,321,0.43
28.,321,0.457
29.,321,0.426
30.,321,0.452
31.,321,0.472
32.,321,0.461
33.,321,0.453
34.,321,0.45
35.,321,0.43
36.,321,0.46
37.,321,0.45
38.,321,0.454
39.,321,0.459
40.,321,0.454
41.,321,0.453
42.,321,0.452
43.,321,0.488
44.,321,0.46
45.,321,0.446
46.,321,0.449
47.,321,0.454
48.,321,0.458
49.,321,0.46
50.,321,0.454
51.,321,0.494
52.,321,0.424
53.,321,0.463
54.,321,0.497
55.,321,0.48
56.,321,0.455
57.,321,0.448
58.,321,0.48
59.,321,0.463
60.,321,0.46
61.,321,0.456
62.,321,0.432
63.,321,0.45
64.,321,0.466
65.,321,0.428
66.,321,0.442
67.,321,0.425
68.,321,0.457
69.,321,0.462
70.,321,0.441
71.,321,0.433
72.,321,0.449
73.,321,0.457
74.,321,0.431
75.,321,0.457
76.,321,0.459
77.,321,0.456
78.,321,0.474
79.,321,0.45
80.,321,0.452
81.,321,0.45
82.,321,0.448
83.,321,0.424
84.,321,0.422
85.,321,0.533
86.,321,0.463
87.,321,0.419
88.,321,0.451
89.,321,0.457
90.,321,0.433
91.,321,0.423
92.,321,0.421
93.,321,0.425
94.,321,0.432
95.,321,0.443
96.,321,0.451
97.,321,0.451
98.,321,0.432
99.,321,0.452
100.,321,0.452
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp9_random.txt,100,-1,None
No.,Cost,Execution Times [ms]
1.,372,4.366
2.,372,4.413
3.,372,4.268
4.,372,4.317
5.,372,4.313
6.,372,4.258
7.,372,4.655
8.,372,4.534
9.,372,4.488
10.,372,4.261
11.,372,4.442
12.,372,4.289
13.,372,4.349
14.,372,4.291
15.,372,4.255
16.,372,4.361
17.,372,4.33
18.,372,4.487
19.,372,4.229
20.,372,4.337
21.,372,4.282
22.,372,4.251
23.,372,4.251
24.,372,4.361
25.,372,4.603
26.,372,4.232
27.,372,4.305
