Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt,100,132,0-1-2-3-4-5-0
No.,Cost,Execution Times [ms]
76.,132,7
77.,132,8
78.,132,6
79.,132,11
80.,132,6
81.,132,24
82.,132,6
83.,132,6
84.,132,8
85.,132,6
86.,132,9
87.,132,21
88.,132,8
89.,132,12
90.,132,10
91.,132,18
92.,132,6
93.,132,10
94.,132,15
95.,132,6
96.,132,6
97.,132,7
98.,132,6
99.,132,6
100.,132,6
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_2.txt,100,80,0-5-1-2-3-4-0
No.,Cost,Execution Times [us]
1.,80,6
2.,80,14
3.,80,6
4.,80,6
5.,80,7
6.,80,14
7.,80,7
8.,80,6
9.,80,6
10.,80,6
11.,80,6
12.,80,6
13.,80,6
14.,80,6
15.,80,7
16.,80,10
17.,80,6
18.,80,8
19.,80,8
20.,80,14
21.,80,6
22.,80,18
23.,80,14
24.,80,8
25.,80,7
26.,80,6
27.,80,11
28.,80,9
29.,80,14
30.,80,10
31.,80,17
32.,80,7
33.,80,7
34.,80,6
35.,80,6
36.,80,7
37.,80,6
38.,80,6
39.,80,6
40.,80,6
41.,80,8
42.,80,6
43.,80,11
44.,80,6
45.,80,6
46.,80,6
47.,80,6
48.,80,6
49.,80,6
50.,80,6
51.,80,13
52.,80,6
53.,80,6
54.,80,6
55.,80,6
56.,80,6
57.,80,6
58.,80,6
59.,80,6
60.,80,6
61.,80,6
62.,80,6
63.,80,7
64.,80,6
65.,80,6
66.,80,6
67.,80,6
68.,80,6
69.,80,6
70.,80,6
71.,80,13
72.,80,6
73.,80,7
74.,80,6
75.,80,7
76.,80,6
77.,80,6
78.,80,6
79.,80,6
80.,80,6
81.,80,6
82.,80,7
83.,80,6
84.,80,6
85.,80,6
86.,80,6
87.,80,20
88.,80,6
89.,80,22
90.,80,6
91.,80,6
92.,80,28
93.,80,7
94.,80,6
95.,80,8
96.,80,8
97.,80,8
98.,80,13
99.,80,11
100.,80,8
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_10.txt,100,212,0-3-4-2-8-7-6-9-1-5-0
No.,Cost,Execution Times [us]
1.,212,47789
2.,212,48789
3.,212,47543
4.,212,48438
5.,212,47821
6.,212,48763
7.,212,48198
8.,212,48003
9.,212,48193
10.,212,47718
11.,212,47868
12.,212,48136
13.,212,48036
14.,212,47784
15.,212,47503
16.,212,48104
17.,212,48301
18.,212,47211
19.,212,47656
20.,212,47718
21.,212,47592
22.,212,47779
23.,212,47545
24.,212,48421
25.,212,47659
26.,212,47346
27.,212,47496
28.,212,47452
29.,212,47269
30.,212,47779
31.,212,47998
32.,212,47607
33.,212,47553
34.,212,47188
35.,212,47710
36.,212,48339
37.,212,47753
38.,212,47681
39.,212,47719
40.,212,47529
41.,212,47213
42.,212,47712
43.,212,47547
44.,212,47674
45.,212,47644
46.,212,47376
47.,212,47723
48.,212,47399
49.,212,47257
50.,212,47357
51.,212,47880
52.,212,47550
53.,212,48185
54.,212,48281
55.,212,47485
56.,212,47600
57.,212,47810
58.,212,47434
59.,212,47369
60.,212,48908
61.,212,47569
62.,212,47667
63.,212,47602
64.,212,47798
65.,212,48951
66.,212,49129
67.,212,47682
68.,212,48349
69.,212,48062
70.,212,47259
71.,212,47361
72.,212,47769
73.,212,47146
74.,212,53576
75.,212,47264
76.,212,48124
77.,212,47972
78.,212,47557
79.,212,47226
80.,212,47290
81.,212,47653
82.,212,47426
83.,212,47783
84.,212,47531
85.,212,47693
86.,212,47535
87.,212,47878
88.,212,47836
89.,212,47395
90.,212,48493
91.,212,48381
92.,212,47197
93.,212,47474
94.,212,47486
95.,212,47981
96.,212,47531
97.,212,50297
98.,212,47474
99.,212,48483
100.,212,47403
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_12.txt,10,264,0-1-8-4-6-2-11-9-7-5-3-10-0
No.,Cost,Execution Times [us]
1.,264,7551509
2.,264,7756064
3.,264,7662214
4.,264,7670355
5.,264,7553965
6.,264,7554791
7.,264,7580169
8.,264,7676264
9.,264,7647472
10.,264,7495799
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_13.txt,5,269,0-10-3-5-7-9-11-2-6-4-8-1-12-0
No.,Cost,Execution Times [us]
1.,269,105629384
2.,269,105734554
3.,269,105984672
4.,269,106960841
5.,269,106208563
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_14.txt,1,282,0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Cost,Execution Times [us]
1.,282,1601509811
